# Summary: Whole-Script Confusables
# File: confusablesWholeScript.txt
# Version: 8.0.0
# Generated: 2015-05-17, 03:09:04 GMT
# Checkin: $Revision: 1.32 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# This data is used for determining whether a strings is a
# whole-script or mixed-script confusable.
# The mappings here ignore common and inherited script characters,
# such as accents.

# Lowercase Only

# Arabic; Armenian: [ه٥ھہە۵ۿ]; [օ]

0647          ; Arab; Armn; L #      (ه)  ARABIC LETTER HEH

# Total code points: 1

# Hebrew; Telugu: [ס]; [ం౦]

05E1          ; Hebr; Telu; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Thai: [ס]; [๐]

05E1          ; Hebr; Thai; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hiragana; Katakana: [へ]; [ヘ]

3078          ; Hira; Kana; L #      (へ)  HIRAGANA LETTER HE

# Total code points: 1

# Kannada; Arabic: [ಂ೦]; [ه٥ھہە۵ۿ]

0C82          ; Knda; Arab; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Arab; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Armenian: [ಂ೦]; [օ]

0C82          ; Knda; Armn; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Armn; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Bengali: [ಃ]; [ঃ]

0C83          ; Knda; Beng; L #      (ಃ)  KANNADA SIGN VISARGA

# Total code points: 1

# Kannada; Cyrillic: [ಂ೦]; [оө]

0C82          ; Knda; Cyrl; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Cyrl; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Devanagari: [ಂ೦]; [०]

0C82          ; Knda; Deva; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Deva; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Georgian: [ಂ೦]; [ჿ]

0C82          ; Knda; Geor; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Geor; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Greek: [ಂ೦]; [οσ]

0C82          ; Knda; Grek; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Grek; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Gujarati: [ಂ೦]; [૦]

0C82          ; Knda; Gujr; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Gujr; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Gurmukhi: [ಂಃ೦]; [ਃ੦]

0C82..0C83    ; Knda; Guru; L #  [2] (ಂ..ಃ)  KANNADA SIGN ANUSVARA..KANNADA SIGN VISARGA
0CE6          ; Knda; Guru; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 3

# Kannada; Hebrew: [ಂ೦]; [ס]

0C82          ; Knda; Hebr; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Hebr; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Lao: [ಂ೦]; [໐]

0C82          ; Knda; Laoo; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Laoo; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Latin: [ಂ೦]; [oøơ]

0C82          ; Knda; Latn; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Latn; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Malayalam: [ಂಃ೦]; [ംഃ൦]

0C82..0C83    ; Knda; Mlym; L #  [2] (ಂ..ಃ)  KANNADA SIGN ANUSVARA..KANNADA SIGN VISARGA
0CE6          ; Knda; Mlym; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 3

# Kannada; Myanmar: [ಂಃ೦]; [ဝး၀]

0C82..0C83    ; Knda; Mymr; L #  [2] (ಂ..ಃ)  KANNADA SIGN ANUSVARA..KANNADA SIGN VISARGA
0CE6          ; Knda; Mymr; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 3

# Kannada; Sinhala: [ಂಃ೦]; [ංඃ]

0C82..0C83    ; Knda; Sinh; L #  [2] (ಂ..ಃ)  KANNADA SIGN ANUSVARA..KANNADA SIGN VISARGA
0CE6          ; Knda; Sinh; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 3

# Kannada; Tamil: [ಂ೦]; [௦]

0C82          ; Knda; Taml; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Taml; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Telugu: [ಂಃಅ-ಇಒ-ಔಜಞಣಯಱಲೌ೦-೨೯]; [ంఃఅ-ఇఒ-ఔజఞణయఱలౌౕ౦-౨౯]

0C82..0C83    ; Knda; Telu; L #  [2] (ಂ..ಃ)  KANNADA SIGN ANUSVARA..KANNADA SIGN VISARGA
0C85..0C87    ; Knda; Telu; L #  [3] (ಅ..ಇ)  KANNADA LETTER A..KANNADA LETTER I
0C92..0C94    ; Knda; Telu; L #  [3] (ಒ..ಔ)  KANNADA LETTER O..KANNADA LETTER AU
0C9C          ; Knda; Telu; L #      (ಜ)  KANNADA LETTER JA
0C9E          ; Knda; Telu; L #      (ಞ)  KANNADA LETTER NYA
0CA3          ; Knda; Telu; L #      (ಣ)  KANNADA LETTER NNA
0CAF          ; Knda; Telu; L #      (ಯ)  KANNADA LETTER YA
0CB1..0CB2    ; Knda; Telu; L #  [2] (ಱ..ಲ)  KANNADA LETTER RRA..KANNADA LETTER LA
0CCC          ; Knda; Telu; L #      (ೌ)  KANNADA VOWEL SIGN AU
0CE6..0CE8    ; Knda; Telu; L #  [3] (೦..೨)  KANNADA DIGIT ZERO..KANNADA DIGIT TWO
0CEF          ; Knda; Telu; L #      (೯)  KANNADA DIGIT NINE

# Total code points: 19

# Kannada; Thai: [ಂ೦]; [๐]

0C82          ; Knda; Thai; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Thai; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Katakana; Hiragana: [ヘ]; [へ]

30D8          ; Kana; Hira; L #      (ヘ)  KATAKANA LETTER HE

# Total code points: 1

# Khmer; Lao: [ំ]; [ໍ]

17C6          ; Khmr; Laoo; L #      (ំ)  KHMER SIGN NIKAHIT

# Total code points: 1

# Khmer; Myanmar: [ំ]; [ံ]

17C6          ; Khmr; Mymr; L #      (ំ)  KHMER SIGN NIKAHIT

# Total code points: 1

# Khmer; Tamil: [ំ]; [ஂ]

17C6          ; Khmr; Taml; L #      (ំ)  KHMER SIGN NIKAHIT

# Total code points: 1

# Khmer; Thai: [ិ-ឺំ]; [ิ-ืํ]

17B7..17BA    ; Khmr; Thai; L #  [4] (ិ..ឺ)  KHMER VOWEL SIGN I..KHMER VOWEL SIGN YY
17C6          ; Khmr; Thai; L #      (ំ)  KHMER SIGN NIKAHIT

# Total code points: 5

# Lao; Arabic: [໐]; [ه٥ھہە۵ۿ]

0ED0          ; Laoo; Arab; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Armenian: [໐]; [օ]

0ED0          ; Laoo; Armn; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Cyrillic: [໐]; [оө]

0ED0          ; Laoo; Cyrl; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Devanagari: [໐]; [०]

0ED0          ; Laoo; Deva; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Georgian: [໐]; [ჿ]

0ED0          ; Laoo; Geor; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Greek: [໐]; [οσ]

0ED0          ; Laoo; Grek; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Gujarati: [໐]; [૦]

0ED0          ; Laoo; Gujr; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Gurmukhi: [໐]; [੦]

0ED0          ; Laoo; Guru; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Hebrew: [໐]; [ס]

0ED0          ; Laoo; Hebr; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Kannada: [໐]; [ಂ೦]

0ED0          ; Laoo; Knda; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Khmer: [ໍ]; [ំ]

0ECD          ; Laoo; Khmr; L #      (ໍ)  LAO NIGGAHITA

# Total code points: 1

# Lao; Latin: [໐]; [oøơ]

0ED0          ; Laoo; Latn; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Malayalam: [໐]; [ം൦]

0ED0          ; Laoo; Mlym; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Myanmar: [ໍ໐]; [ဝံ၀]

0ECD          ; Laoo; Mymr; L #      (ໍ)  LAO NIGGAHITA
0ED0          ; Laoo; Mymr; L #      (໐)  LAO DIGIT ZERO

# Total code points: 2

# Lao; Sinhala: [໐]; [ං]

0ED0          ; Laoo; Sinh; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Tamil: [ໍ໐]; [ஂ௦]

0ECD          ; Laoo; Taml; L #      (ໍ)  LAO NIGGAHITA
0ED0          ; Laoo; Taml; L #      (໐)  LAO DIGIT ZERO

# Total code points: 2

# Lao; Telugu: [໐]; [ం౦]

0ED0          ; Laoo; Telu; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Thai: [ຈຍບປຝ-ຟຸູ່-໋ໍ໐]; [จบปฝ-ฟยุู่-๋ํ๐]

0E88          ; Laoo; Thai; L #      (ຈ)  LAO LETTER CO
0E8D          ; Laoo; Thai; L #      (ຍ)  LAO LETTER NYO
0E9A..0E9B    ; Laoo; Thai; L #  [2] (ບ..ປ)  LAO LETTER BO..LAO LETTER PO
0E9D..0E9F    ; Laoo; Thai; L #  [3] (ຝ..ຟ)  LAO LETTER FO TAM..LAO LETTER FO SUNG
0EB8..0EB9    ; Laoo; Thai; L #  [2] (ຸ..ູ)  LAO VOWEL SIGN U..LAO VOWEL SIGN UU
0EC8..0ECB    ; Laoo; Thai; L #  [4] (່..໋)  LAO TONE MAI EK..LAO TONE MAI CATAWA
0ECD          ; Laoo; Thai; L #      (ໍ)  LAO NIGGAHITA
0ED0          ; Laoo; Thai; L #      (໐)  LAO DIGIT ZERO

# Total code points: 15

# Latin; Arabic: [loöøłơ]; [إاةه١٥ھہۃە۱۵ۿ]

006C          ; Latn; Arab; L #      (l)  LATIN SMALL LETTER L
006F          ; Latn; Arab; L #      (o)  LATIN SMALL LETTER O
00F6          ; Latn; Arab; L #      (ö)  LATIN SMALL LETTER O WITH DIAERESIS
00F8          ; Latn; Arab; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
0142          ; Latn; Arab; L #      (ł)  LATIN SMALL LETTER L WITH STROKE
01A1          ; Latn; Arab; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 6

# Latin; Armenian: [f-hnoqu-wøħơ]; [ագզհոռսցքօ]

0066..0068    ; Latn; Armn; L #  [3] (f..h)  LATIN SMALL LETTER F..LATIN SMALL LETTER H
006E..006F    ; Latn; Armn; L #  [2] (n..o)  LATIN SMALL LETTER N..LATIN SMALL LETTER O
0071          ; Latn; Armn; L #      (q)  LATIN SMALL LETTER Q
0075..0077    ; Latn; Armn; L #  [3] (u..w)  LATIN SMALL LETTER U..LATIN SMALL LETTER W
00F8          ; Latn; Armn; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
0127          ; Latn; Armn; L #      (ħ)  LATIN SMALL LETTER H WITH STROKE
01A1          ; Latn; Armn; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 12

# Latin; Cyrillic: [a-eh-yæçøđħıĸŧơəꞓ]; [агекмо-ухцъє-іјћҍґғқҟҫҭүұһҽҿӎӏӕәөԁԑԛԝ]

0061..0065    ; Latn; Cyrl; L #  [5] (a..e)  LATIN SMALL LETTER A..LATIN SMALL LETTER E
0068..0079    ; Latn; Cyrl; L # [18] (h..y)  LATIN SMALL LETTER H..LATIN SMALL LETTER Y
00E6..00E7    ; Latn; Cyrl; L #  [2] (æ..ç)  LATIN SMALL LETTER AE..LATIN SMALL LETTER C WITH CEDILLA
00F8          ; Latn; Cyrl; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
0111          ; Latn; Cyrl; L #      (đ)  LATIN SMALL LETTER D WITH STROKE
0127          ; Latn; Cyrl; L #      (ħ)  LATIN SMALL LETTER H WITH STROKE
0131          ; Latn; Cyrl; L #      (ı)  LATIN SMALL LETTER DOTLESS I
0138          ; Latn; Cyrl; L #      (ĸ)  LATIN SMALL LETTER KRA
0167          ; Latn; Cyrl; L #      (ŧ)  LATIN SMALL LETTER T WITH STROKE
01A1          ; Latn; Cyrl; L #      (ơ)  LATIN SMALL LETTER O WITH HORN
0259          ; Latn; Cyrl; L #      (ə)  LATIN SMALL LETTER SCHWA
A793          ; Latn; Cyrl; L #      (ꞓ)  LATIN SMALL LETTER C WITH BAR

# Total code points: 34

# Latin; Devanagari: [oøơ]; [०]

006F          ; Latn; Deva; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Deva; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Deva; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Georgian: [oyøơ]; [ყჿ]

006F          ; Latn; Geor; L #      (o)  LATIN SMALL LETTER O
0079          ; Latn; Geor; L #      (y)  LATIN SMALL LETTER Y
00F8          ; Latn; Geor; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Geor; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 4

# Latin; Greek: [aikn-pt-vyßøıĸŧơꞓ]; [α-γεηικνο-ρσ-υ]

0061          ; Latn; Grek; L #      (a)  LATIN SMALL LETTER A
0069          ; Latn; Grek; L #      (i)  LATIN SMALL LETTER I
006B          ; Latn; Grek; L #      (k)  LATIN SMALL LETTER K
006E..0070    ; Latn; Grek; L #  [3] (n..p)  LATIN SMALL LETTER N..LATIN SMALL LETTER P
0074..0076    ; Latn; Grek; L #  [3] (t..v)  LATIN SMALL LETTER T..LATIN SMALL LETTER V
0079          ; Latn; Grek; L #      (y)  LATIN SMALL LETTER Y
00DF          ; Latn; Grek; L #      (ß)  LATIN SMALL LETTER SHARP S
00F8          ; Latn; Grek; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
0131          ; Latn; Grek; L #      (ı)  LATIN SMALL LETTER DOTLESS I
0138          ; Latn; Grek; L #      (ĸ)  LATIN SMALL LETTER KRA
0167          ; Latn; Grek; L #      (ŧ)  LATIN SMALL LETTER T WITH STROKE
01A1          ; Latn; Grek; L #      (ơ)  LATIN SMALL LETTER O WITH HORN
A793          ; Latn; Grek; L #      (ꞓ)  LATIN SMALL LETTER C WITH BAR

# Total code points: 17

# Latin; Gujarati: [oøơ]; [૦]

006F          ; Latn; Gujr; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Gujr; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Gujr; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Gurmukhi: [oøơ]; [੦]

006F          ; Latn; Guru; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Guru; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Guru; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Hebrew: [lovøłơ]; [וטיןסװױ]

006C          ; Latn; Hebr; L #      (l)  LATIN SMALL LETTER L
006F          ; Latn; Hebr; L #      (o)  LATIN SMALL LETTER O
0076          ; Latn; Hebr; L #      (v)  LATIN SMALL LETTER V
00F8          ; Latn; Hebr; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
0142          ; Latn; Hebr; L #      (ł)  LATIN SMALL LETTER L WITH STROKE
01A1          ; Latn; Hebr; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 6

# Latin; Kannada: [oøơ]; [ಂ೦]

006F          ; Latn; Knda; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Knda; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Knda; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Lao: [oøơ]; [໐]

006F          ; Latn; Laoo; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Laoo; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Laoo; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Malayalam: [oøơ]; [ം൦]

006F          ; Latn; Mlym; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Mlym; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Mlym; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Myanmar: [oøơ]; [ဝ၀]

006F          ; Latn; Mymr; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Mymr; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Mymr; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Sinhala: [oøơ]; [ං]

006F          ; Latn; Sinh; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Sinh; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Sinh; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Tamil: [oøơ]; [௦]

006F          ; Latn; Taml; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Taml; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Taml; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Telugu: [oøơ]; [ం౦]

006F          ; Latn; Telu; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Telu; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Telu; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Latin; Thai: [oøơ]; [๐]

006F          ; Latn; Thai; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Thai; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Thai; L #      (ơ)  LATIN SMALL LETTER O WITH HORN

# Total code points: 3

# Malayalam; Arabic: [ം൦]; [ه٥ھہە۵ۿ]

0D02          ; Mlym; Arab; L #      (ം)  MALAYALAM SIGN ANUSVARA
0D66          ; Mlym; Arab; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 2

# Malayalam; Armenian: [ം൦]; [օ]

0D02          ; Mlym; Armn; L #      (ം)  MALAYALAM SIGN ANUSVARA
0D66          ; Mlym; Armn; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 2

# Malayalam; Bengali: [ഃഠ]; [ঃ০]

0D03          ; Mlym; Beng; L #      (ഃ)  MALAYALAM SIGN VISARGA
0D20          ; Mlym; Beng; L #      (ഠ)  MALAYALAM LETTER TTHA

# Total code points: 2

# Malayalam; Cyrillic: [ം൦]; [оө]

0D02          ; Mlym; Cyrl; L #      (ം)  MALAYALAM SIGN ANUSVARA
0D66          ; Mlym; Cyrl; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 2

# Malayalam; Devanagari: [ംൎ൦]; [०ॱ]

0D02          ; Mlym; Deva; L #      (ം)  MALAYALAM SIGN ANUSVARA
0D4E          ; Mlym; Deva; L #      (ൎ)  MALAYALAM LETTER DOT REPH
0D66          ; Mlym; Deva; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 3

# Malayalam; Georgian: [ം൦]; [ჿ]

0D02          ; Mlym; Geor; L #      (ം)  MALAYALAM SIGN ANUSVARA
0D66          ; Mlym; Geor; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 2

# Malayalam; Greek: [ംഠ൦]; [θοσ]

0D02          ; Mlym; Grek; L #      (ം)  MALAYALAM SIGN ANUSVARA
0D20          ; Mlym; Grek; L #      (ഠ)  MALAYALAM LETTER TTHA
0D66          ; Mlym; Grek; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 3

# Malayalam; Gujarati: [ം൦]; [૦]

0D02          ; Mlym; Gujr; L #      (ം)  MALAYALAM SIGN ANUSVARA
0D66          ; Mlym; Gujr; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 2

# Malayalam; Gurmukhi: [ംഃ൦]; [ਃ੦]

0D02..0D03    ; Mlym; Guru; L #  [2] (ം..ഃ)  MALAYALAM SIGN ANUSVARA..MALAYALAM SIGN VISARGA
0D66          ; Mlym; Guru; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 3

# Malayalam; Han: [ഠ]; [〇]

0D20          ; Mlym; Hani; L #      (ഠ)  MALAYALAM LETTER TTHA

# Total code points: 1

# Malayalam; Hebrew: [ം൦]; [ס]

0D02          ; Mlym; Hebr; L #      (ം)  MALAYALAM SIGN ANUSVARA
0D66          ; Mlym; Hebr; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 2

# Malayalam; Kannada: [ംഃ൦]; [ಂಃ೦]

0D02..0D03    ; Mlym; Knda; L #  [2] (ം..ഃ)  MALAYALAM SIGN ANUSVARA..MALAYALAM SIGN VISARGA
0D66          ; Mlym; Knda; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 3

# Malayalam; Lao: [ം൦]; [໐]

0D02          ; Mlym; Laoo; L #      (ം)  MALAYALAM SIGN ANUSVARA
0D66          ; Mlym; Laoo; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 2

# Malayalam; Latin: [ം൦]; [oøơ]

0D02          ; Mlym; Latn; L #      (ം)  MALAYALAM SIGN ANUSVARA
0D66          ; Mlym; Latn; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 2

# Malayalam; Myanmar: [ംഃ൦]; [ဝး၀]

0D02..0D03    ; Mlym; Mymr; L #  [2] (ം..ഃ)  MALAYALAM SIGN ANUSVARA..MALAYALAM SIGN VISARGA
0D66          ; Mlym; Mymr; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 3

# Malayalam; Oriya: [ഠ]; [ଠ୦]

0D20          ; Mlym; Orya; L #      (ഠ)  MALAYALAM LETTER TTHA

# Total code points: 1

# Malayalam; Sinhala: [ംഃന്൦]; [ංඃඌ]

0D02..0D03    ; Mlym; Sinh; L #  [2] (ം..ഃ)  MALAYALAM SIGN ANUSVARA..MALAYALAM SIGN VISARGA
0D28          ; Mlym; Sinh; L #      (ന)  MALAYALAM LETTER NA
0D4D          ; Mlym; Sinh; L #      (്)  MALAYALAM SIGN VIRAMA
0D66          ; Mlym; Sinh; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 5

# Malayalam; Tamil: [ംഉജണഴശഺിീ൦]; [உஐஜடணழஶி௦௨]

0D02          ; Mlym; Taml; L #      (ം)  MALAYALAM SIGN ANUSVARA
0D09          ; Mlym; Taml; L #      (ഉ)  MALAYALAM LETTER U
0D1C          ; Mlym; Taml; L #      (ജ)  MALAYALAM LETTER JA
0D23          ; Mlym; Taml; L #      (ണ)  MALAYALAM LETTER NNA
0D34          ; Mlym; Taml; L #      (ഴ)  MALAYALAM LETTER LLLA
0D36          ; Mlym; Taml; L #      (ശ)  MALAYALAM LETTER SHA
0D3A          ; Mlym; Taml; L #      (ഺ)  MALAYALAM LETTER TTTA
0D3F..0D40    ; Mlym; Taml; L #  [2] (ി..ീ)  MALAYALAM VOWEL SIGN I..MALAYALAM VOWEL SIGN II
0D66          ; Mlym; Taml; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 10

# Malayalam; Telugu: [ംഃ൦]; [ంః౦]

0D02..0D03    ; Mlym; Telu; L #  [2] (ം..ഃ)  MALAYALAM SIGN ANUSVARA..MALAYALAM SIGN VISARGA
0D66          ; Mlym; Telu; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 3

# Malayalam; Thai: [ം൦]; [๐]

0D02          ; Mlym; Thai; L #      (ം)  MALAYALAM SIGN ANUSVARA
0D66          ; Mlym; Thai; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 2

# Myanmar; Arabic: [ဝ၀]; [ه٥ھہە۵ۿ]

101D          ; Mymr; Arab; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Arab; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Armenian: [ဝ၀]; [օ]

101D          ; Mymr; Armn; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Armn; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Bengali: [း]; [ঃ]

1038          ; Mymr; Beng; L #      (း)  MYANMAR SIGN VISARGA

# Total code points: 1

# Myanmar; Cyrillic: [ဝ၀]; [оө]

101D          ; Mymr; Cyrl; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Cyrl; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Devanagari: [ဝ၀]; [०]

101D          ; Mymr; Deva; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Deva; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Georgian: [ဝ၀]; [ჿ]

101D          ; Mymr; Geor; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Geor; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Greek: [ဝ၀]; [οσ]

101D          ; Mymr; Grek; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Grek; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Gujarati: [ဝ၀]; [૦]

101D          ; Mymr; Gujr; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Gujr; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Gurmukhi: [ဝး၀]; [ਃ੦]

101D          ; Mymr; Guru; L #      (ဝ)  MYANMAR LETTER WA
1038          ; Mymr; Guru; L #      (း)  MYANMAR SIGN VISARGA
1040          ; Mymr; Guru; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 3

# Myanmar; Hebrew: [ဝ၀]; [ס]

101D          ; Mymr; Hebr; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Hebr; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Kannada: [ဝး၀]; [ಂಃ೦]

101D          ; Mymr; Knda; L #      (ဝ)  MYANMAR LETTER WA
1038          ; Mymr; Knda; L #      (း)  MYANMAR SIGN VISARGA
1040          ; Mymr; Knda; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 3

# Myanmar; Khmer: [ံ]; [ំ]

